Dependent_count,Education_Level,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Gender_Male,Marital_Status_Married
0.8,0.4,0.0,0.6026684234666961,0.0,0.16666666666666666,0.1025142694560639,0.42034167659912597,0,1
0.2,0.6000000000000001,0.0,0.5071370001760092,0.6000000000000001,0.3333333333333333,0.40912800429923024,0.4525228446563369,1,0
0.4,0.6000000000000001,0.0,0.5071370001760092,0.6000000000000001,0.3333333333333333,0.7187083960274006,0.6138259833134684,0,0
0.6000000000000001,0.0,0.0,0.4366513523551361,0.4000000000000001,0.5,0.6266975490521673,0.0,0,1
0.6000000000000001,0.2,0.0,0.39025550038409773,0.8,0.5,0.21292070654482664,0.0,0,0
0.6000000000000001,0.6000000000000001,0.0,0.25421773957404925,0.8,0.5,0.9366630777481717,0.3837902264600715,1,1
0.0,0.6000000000000001,0.0,0.5071370001760092,0.4000000000000001,0.6666666666666666,0.39105135997700025,0.7028208184346444,1,0
0.4,0.6000000000000001,0.0,0.6026684234666961,1.0000000000000002,0.5,0.6103637490894638,0.0,1,0
0.2,0.6000000000000001,0.0,0.5071370001760092,0.2,0.0,0.0,0.0,0,1
0.4,0.6000000000000001,0.0,0.5071370001760092,0.0,0.5,0.8298943692987386,0.0,1,1
0.8,0.2,0.0,0.6026684234666961,0.8,0.3333333333333333,0.24656221689745017,0.8943186332936035,1,1
0.8,0.6000000000000001,0.0,0.39025550038409773,0.6000000000000001,0.8333333333333333,0.07552687819074855,0.5272149384187524,0,1
0.2,0.0,0.0,0.5071370001760092,0.2,0.3333333333333333,0.11309251511566387,0.0,0,0
0.8,0.6000000000000001,0.0,0.39025550038409773,0.6000000000000001,0.6666666666666666,1.0,0.4755661501787843,1,1
0.6000000000000001,0.2,0.0,0.5071370001760092,0.4000000000000001,0.8333333333333333,0.6635437332797043,0.8148589590782678,1,0
0.4,0.2,0.0,0.5071370001760092,0.8,0.6666666666666666,0.171332657145431,0.37743345252284466,1,0
0.4,0.6000000000000001,0.0,0.3216176707007844,0.6000000000000001,0.3333333333333333,0.910789718914824,0.5685339690107271,1,1
0.4,1.0,0.0,0.6998360788492864,0.0,0.3333333333333333,1.0,0.5490663488279698,1,1
0.8,0.6000000000000001,0.0,0.2990079443161958,0.2,0.3333333333333333,0.26406178743994957,0.6332936034962257,0,0
